date,Q1,Q2,Q3,Q4,Q5,Q1-Q5
2019-01-31,0.056224774970194624,0.02925749647630458,0.06209245809165375,0.03996119083189979,0.017436389789759095,0.03878838518043553
2019-02-28,0.02115306644180386,0.037631919039351334,0.029236437109979925,0.016259480454313927,0.00426570191534646,0.0168873645264574
2019-03-29,0.04324705389165222,0.031833913909752334,0.0507037687147442,0.03518100040582493,0.027442057962525992,0.015804995929126226
2019-04-30,-0.08813930048663066,-0.044584029385597294,-0.07102289999149897,-0.05085521078502081,-0.05513058322369126,-0.0330087172629394
2019-05-31,0.104494425109817,0.08386657900640287,0.09774698725055161,0.07605691083821392,0.0904926540739951,0.014001771035821911
2019-06-28,0.03598404268613658,0.032804086934604675,0.04426865596569681,0.019194998706456315,0.035397931087739615,0.0005861115983969642
2019-07-31,-0.036124155917763176,-0.006760476220120803,-0.0019929368661494545,-0.019095145735096172,-0.020681818892871195,-0.015442337024891981
2019-08-30,0.014544325419964291,0.007097463890453104,0.008726365459359231,-0.012471114543131672,0.00267268803143067,0.011871637388533621
2019-09-30,0.01307376356406405,0.014721209941777494,0.02348535411461188,0.023409835396216258,0.03267219938369161,-0.019598435819627565
2019-10-31,0.049351290125149425,0.00901323138128611,0.03375040581800001,0.03820932970636805,0.0419299177242605,0.007421372400888922
2019-11-29,0.03551272377275336,0.02468506860613984,0.03249803716293618,0.024704607519249897,0.045954311474695274,-0.010441587701941916
2019-12-31,0.006461620116019097,-0.0013867905497239822,0.002636223119292224,0.0026817029205909964,-0.039644509579976596,0.046106129695995694
2020-01-31,-0.05601712314609469,-0.05173628400522231,-0.07137553485245877,-0.05312930541919169,-0.05614556075916134,0.00012843761306665508
2020-02-28,-0.14237602996782672,-0.0756379615003441,-0.08738533545859409,-0.09974887599596946,-0.11732921172917173,-0.025046818238654997
2020-03-31,0.1288495566322152,0.11731857869121647,0.1293337732619219,0.11628742634840379,0.1108009068381249,0.018048649794090307
2020-04-30,0.08496717597300048,0.05679984312211936,0.07443558817197989,0.06520986519694959,0.04839112129209354,0.03657605468090694
2020-05-29,0.021028015824357184,-0.003337077474565127,0.007425861139556955,-0.00913870274567399,-0.02134123110348529,0.04236924692784247
2020-06-30,0.05808835632700365,0.06972088527580371,0.06355123989651448,0.03892162315684819,0.03831899359030016,0.01976936273670349
2020-07-31,0.08885715368285593,0.040524257665526926,0.05909448685312794,0.06970751720562786,0.06643174644582671,0.022425407237029224
2020-08-31,-0.024848137280960657,-0.015010074951249583,-0.032376603748746645,-0.016942284796537227,-0.03522730840132344,0.010379171120362782
2020-09-30,0.014631378200192875,-0.003649321032210096,-0.0047571738470276025,-0.027321540162890894,-0.02249191495602419,0.03712329315621706
2020-10-30,0.21527357356435822,0.1368168390349309,0.10567497175933857,0.1281678507465456,0.15925217338685052,0.0560214001775077
2020-11-30,0.060040889599928024,0.01602403688475978,0.02484228958671814,0.010803918823353157,0.02374706557799532,0.03629382402193271
2020-12-31,0.034194383074038194,0.0010568183460295203,0.029782515010733784,-0.00035892098832225453,0.018314642218922005,0.01587974085511619
2021-01-29,0.062363175703331955,0.04263594268031525,0.05353611033207929,0.03690083925797526,0.0873788261183887,-0.02501565041505674
2021-02-26,0.01817133428865777,0.07874545539277861,0.07484334229157541,0.08357199435807407,0.07934219833344856,-0.061170864044790794
2021-03-31,0.04441711041875666,0.045084024036057775,0.04817942019025714,0.042089687249110566,0.0490431172428298,-0.004626006824073145
2021-04-30,0.027004125319489026,0.009408135801958338,0.030625665397386915,0.017396620398917654,0.05716626038401513,-0.030162135064526103
2021-05-28,0.0008100464284465449,-0.006709227624603181,0.01847913607677626,0.001050877701909386,-0.017389116339543893,0.018199162767990437
2021-06-30,0.025593257781708543,0.02607373651592447,0.04299637473796315,0.013037791331673031,-0.010916203440840001,0.03650946122254854
2021-07-30,0.0367956620154206,0.007363790738562365,0.04002732262649898,0.0034654009511581162,0.0071166648710215075,0.029678997144399095
2021-08-31,-0.038646633457318336,-0.05332583654304467,-0.05490364978033051,-0.04530091531334744,-0.008993891372215426,-0.02965274208510291
2021-09-30,0.07885108357993754,0.04949547618205772,0.08177695996275133,0.06825938938229917,0.07511093681295122,0.0037401467669863214
2021-10-29,-0.008743891136012701,0.004574865434595534,0.007490679670120444,-0.027605450116563394,-0.03289160390344464,0.024147712767431936
2021-11-30,0.064725236460217,0.073491771838334,0.054620794110536594,0.08830156118244127,0.07578829633058319,-0.011063059870366196
2021-12-31,-0.05063579956441057,-0.052797539290375416,-0.055778864178696284,-0.019047801198471322,0.022147954102971244,-0.07278375366738181
2022-01-31,0.023461442142629463,-0.026539188213161657,0.01005998379525038,-0.052558958490255756,0.01748113789324327,0.0059803042493861945
2022-02-28,0.06293101552785466,0.03949392001643343,0.0588677811727615,0.05797089925155711,0.06325981256571993,-0.00032879703786527215
2022-03-31,-0.07826095029074495,-0.03496089282470644,-0.05070486696424213,-0.045502092120367876,-0.048215287721767544,-0.030045662568977408
2022-04-29,0.00012827699899504403,-0.002507512595547342,-0.006508733205352751,0.007331501241716011,0.013649542592502725,-0.01352126559350768
2022-05-31,-0.08506447722364284,-0.08270639383789706,-0.073498322184637,-0.06458485490651238,-0.08511316201667017,4.868479302733153e-05
2022-06-30,0.11606102065057437,0.08998292318201907,0.10994201866936819,0.053271907942167636,0.037038918604330555,0.07902210204624383
2022-07-29,-0.00604609719383427,-0.021896634136580963,-0.03106830054022008,-0.0031121448735427176,0.006548195361086501,-0.01259429255492077
2022-08-31,-0.08945744635666845,-0.0824154756708502,-0.09703513655922447,-0.09120826379172312,-0.060361251848842876,-0.02909619450782558
2022-09-30,0.08484405339352409,0.09185339878224613,0.11308419250334413,0.09802300137925528,0.12274169277056912,-0.03789763937704503
2022-10-31,0.07398312639923253,0.07845411058827419,0.07496038473425472,0.07979146309357771,0.06109501495938315,0.01288811143984938
2022-11-30,-0.06306751031282953,-0.02522470342426866,-0.051938256622205206,-0.04296118290965851,-0.051433799296468234,-0.0116337110163613
